station id, station name, valid,temp
_1895,LJUBLJANA - BEŽIGRAD,27/03/1992,3.7
_1895,LJUBLJANA - BEŽIGRAD,28/03/1992,2
_1895,LJUBLJANA - BEŽIGRAD,29/03/1992,4.4
_1895,LJUBLJANA - BEŽIGRAD,30/03/1992,3.9
_1895,LJUBLJANA - BEŽIGRAD,31/03/1992,6.5
_1895,LJUBLJANA - BEŽIGRAD,01/04/1992,7.9
_1895,LJUBLJANA - BEŽIGRAD,02/04/1992,7.2
_1895,LJUBLJANA - BEŽIGRAD,03/04/1992,10.1
_1895,LJUBLJANA - BEŽIGRAD,04/04/1992,12.7
_1895,LJUBLJANA - BEŽIGRAD,05/04/1992,9.4
_1895,LJUBLJANA - BEŽIGRAD,06/04/1992,6.5
_1895,LJUBLJANA - BEŽIGRAD,07/04/1992,8.1
_1895,LJUBLJANA - BEŽIGRAD,08/04/1992,9.1
_1895,LJUBLJANA - BEŽIGRAD,09/04/1992,9.3
_1895,LJUBLJANA - BEŽIGRAD,10/04/1992,9
_1895,LJUBLJANA - BEŽIGRAD,11/04/1992,9.8
_1895,LJUBLJANA - BEŽIGRAD,12/04/1992,10.4
_1895,LJUBLJANA - BEŽIGRAD,13/04/1992,12.3
_1895,LJUBLJANA - BEŽIGRAD,14/04/1992,10.6
_1895,LJUBLJANA - BEŽIGRAD,15/04/1992,11.2
_1895,LJUBLJANA - BEŽIGRAD,16/04/1992,6.9
_1895,LJUBLJANA - BEŽIGRAD,17/04/1992,5.9
_1895,LJUBLJANA - BEŽIGRAD,18/04/1992,8.2
_1895,LJUBLJANA - BEŽIGRAD,19/04/1992,13.1
_1895,LJUBLJANA - BEŽIGRAD,20/04/1992,10.6
_1895,LJUBLJANA - BEŽIGRAD,21/04/1992,9.5
_1895,LJUBLJANA - BEŽIGRAD,22/04/1992,11.4
_1895,LJUBLJANA - BEŽIGRAD,23/04/1992,11.4
_1895,LJUBLJANA - BEŽIGRAD,24/04/1992,13.9
_1895,LJUBLJANA - BEŽIGRAD,25/04/1992,15.8
_1895,LJUBLJANA - BEŽIGRAD,26/04/1992,17.5
_1895,LJUBLJANA - BEŽIGRAD,27/04/1992,17.5
_1895,LJUBLJANA - BEŽIGRAD,28/04/1992,17.9
_1895,LJUBLJANA - BEŽIGRAD,29/04/1992,11.6
_1895,LJUBLJANA - BEŽIGRAD,30/04/1992,7.7
_1895,LJUBLJANA - BEŽIGRAD,01/05/1992,12.8
_1895,LJUBLJANA - BEŽIGRAD,02/05/1992,14.4
_1895,LJUBLJANA - BEŽIGRAD,03/05/1992,17.6
_1895,LJUBLJANA - BEŽIGRAD,04/05/1992,15.7
_1895,LJUBLJANA - BEŽIGRAD,05/05/1992,15.2
_1895,LJUBLJANA - BEŽIGRAD,06/05/1992,17
_1895,LJUBLJANA - BEŽIGRAD,07/05/1992,16.1
_1895,LJUBLJANA - BEŽIGRAD,08/05/1992,17.3
_1895,LJUBLJANA - BEŽIGRAD,09/05/1992,18.1
_1895,LJUBLJANA - BEŽIGRAD,10/05/1992,18.2
_1895,LJUBLJANA - BEŽIGRAD,11/05/1992,14.4
_1895,LJUBLJANA - BEŽIGRAD,12/05/1992,14.3
_1895,LJUBLJANA - BEŽIGRAD,13/05/1992,16.6
_1895,LJUBLJANA - BEŽIGRAD,14/05/1992,18.2
_1895,LJUBLJANA - BEŽIGRAD,15/05/1992,18.2
_1895,LJUBLJANA - BEŽIGRAD,16/05/1992,19.5
_1895,LJUBLJANA - BEŽIGRAD,17/05/1992,19
_1895,LJUBLJANA - BEŽIGRAD,18/05/1992,15.2
_1895,LJUBLJANA - BEŽIGRAD,19/05/1992,11.9
_1895,LJUBLJANA - BEŽIGRAD,20/05/1992,11.7
_1895,LJUBLJANA - BEŽIGRAD,21/05/1992,13.8
_1895,LJUBLJANA - BEŽIGRAD,22/05/1992,14.2
_1895,LJUBLJANA - BEŽIGRAD,23/05/1992,13.8
_1895,LJUBLJANA - BEŽIGRAD,24/05/1992,17.3
_1895,LJUBLJANA - BEŽIGRAD,25/05/1992,17.3
_1895,LJUBLJANA - BEŽIGRAD,26/05/1992,16.8
_1895,LJUBLJANA - BEŽIGRAD,27/05/1992,17.8
_1895,LJUBLJANA - BEŽIGRAD,28/05/1992,16.7
_1895,LJUBLJANA - BEŽIGRAD,29/05/1992,17
_1895,LJUBLJANA - BEŽIGRAD,30/05/1992,16.7
_1895,LJUBLJANA - BEŽIGRAD,31/05/1992,17.8
_1895,LJUBLJANA - BEŽIGRAD,01/06/1992,18.1
_1895,LJUBLJANA - BEŽIGRAD,02/06/1992,21.8
_1895,LJUBLJANA - BEŽIGRAD,03/06/1992,19.6
_1895,LJUBLJANA - BEŽIGRAD,04/06/1992,18
_1895,LJUBLJANA - BEŽIGRAD,05/06/1992,18.1
_1895,LJUBLJANA - BEŽIGRAD,06/06/1992,15.6
_1895,LJUBLJANA - BEŽIGRAD,07/06/1992,15.1
_1895,LJUBLJANA - BEŽIGRAD,08/06/1992,14.9
_1895,LJUBLJANA - BEŽIGRAD,09/06/1992,15.4
_1895,LJUBLJANA - BEŽIGRAD,10/06/1992,15.6
_1895,LJUBLJANA - BEŽIGRAD,11/06/1992,15.8
